image_name,tags
file_18592,clear primary cultivation habitation agriculture road 
test_21440,cloudy
test_33526,clear primary 
test_15197,clear primary cultivation partly_cloudy agriculture 
file_7714,clear primary 
test_1527,clear primary water haze agriculture road 
test_35699,clear primary habitation agriculture road 
test_3592,clear primary 
test_11488,clear primary 
file_19627,primary haze 
test_29259,clear primary cultivation habitation agriculture road 
test_14417,clear primary water cultivation agriculture road 
test_36546,clear primary water partly_cloudy agriculture road 
test_11132,cloudy
file_12149,clear primary haze agriculture 
test_33224,clear primary water haze agriculture road 
test_15890,clear primary 
file_1280,clear primary water agriculture road 
test_14119,clear primary 
file_16834,primary partly_cloudy 
file_7227,primary water partly_cloudy agriculture road 
file_14314,clear primary water agriculture 
test_17729,clear primary water agriculture 
test_10944,clear primary water cultivation agriculture road 
test_27716,primary cultivation partly_cloudy agriculture road 
test_16312,clear primary cultivation agriculture road 
file_8848,cloudy
file_7543,primary cloudy haze 
test_28000,primary partly_cloudy agriculture 
test_20250,clear primary water 
test_30891,clear primary partly_cloudy agriculture road 
test_35313,clear primary 
file_5156,clear primary cultivation 
file_18073,clear primary cultivation agriculture 
test_29497,clear primary water cultivation habitation agriculture road 
test_25153,clear primary cultivation partly_cloudy agriculture 
file_2796,clear primary cultivation agriculture road 
file_13547,clear primary 
test_635,clear primary 
test_34550,clear primary habitation agriculture road 
test_36562,clear primary 
file_517,clear primary 
file_1756,clear primary 
test_18024,clear primary 
test_10182,primary partly_cloudy agriculture road 
file_2612,cloudy
test_9580,clear primary haze cultivation habitation agriculture road 
file_12695,clear primary 
file_16101,primary haze 
test_40423,primary cloudy water haze 
test_37352,clear primary haze agriculture 
test_6472,clear primary 
file_3036,clear primary cultivation agriculture 
file_3727,clear primary 
file_16943,clear primary 
test_4173,clear primary water agriculture road 
test_17156,primary partly_cloudy 
test_25287,clear primary 
test_26315,clear primary water cultivation habitation agriculture road 
test_36134,clear primary 
file_20139,clear primary water 
file_15177,clear primary 
file_14634,clear primary partly_cloudy 
file_1773,clear primary 
test_25558,clear primary 
test_28737,clear primary water agriculture 
test_18471,primary partly_cloudy 
test_29068,clear primary water partly_cloudy habitation agriculture road 
file_16750,clear primary haze partly_cloudy agriculture road 
file_19445,clear primary cultivation habitation agriculture road 
test_24669,primary haze agriculture 
test_28014,clear primary water cultivation agriculture road 
test_10061,clear primary 
test_14204,clear primary partly_cloudy agriculture 
file_16164,clear primary water cultivation agriculture 
test_18451,clear primary 
test_12161,clear primary 
test_14785,clear primary water agriculture road 
file_13186,primary cloudy water partly_cloudy 
file_9941,clear primary 
test_36228,clear primary water agriculture road 
file_452,clear primary cultivation agriculture 
test_34490,clear primary 
test_14496,clear primary 
file_724,clear primary cultivation agriculture 
test_29859,clear primary habitation agriculture road 
file_5939,clear primary water 
file_5703,clear primary water cultivation agriculture 
file_16588,clear primary 
file_6638,clear primary cultivation partly_cloudy habitation agriculture 
file_20418,clear primary water cultivation habitation agriculture road 
test_14483,clear primary 
